YYYYMMDDHHMM,Unnamed: 0,TYPE,TYPE.1,BBSSS,TUDE,TUDE.1,(M),(HP=MB),(HP=MB).1,(HP=MB).2,(C),(C).1,(%),DIR,SPD(M/S),VIS(M),(KG/M2),(KG/M2).1,|,PRES,PMSL,TMDB,ALSE,TMDP,REHU,WDIR,WSPD,TP03,TP24,HOVI,wind_math_direction,wind_x,wind_y
2019-10-03 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.0,-9999.9,32.8,26.5,-9999.9,110.0,4.1,9000.0,-9999.9,-9999.9,|,-9999.9,100700.0,305.95,-9999.9,299.65,-9999.9,110.0,4.1,-9999.9,-9999.9,9000.0,160.0,-4.000080182460473,0.8996435593539193
2019-10-03 21:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,32.3,27.9,-9999.9,180.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,100660.0,305.45,-9999.9,301.05,-9999.9,180.0,2.1,-9999.9,-9999.9,6000.0,90.0,-0.9409545938712573,1.8773929935611715
2019-10-03 21:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,32.3,27.9,-9999.9,180.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,100660.0,305.45,-9999.9,301.05,-9999.9,180.0,2.1,-9999.9,-9999.9,6000.0,90.0,-0.9409545938712573,1.8773929935611715
2019-10-04 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.2,-9999.9,32.1,27.2,-9999.9,180.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,100620.0,305.25,-9999.9,300.35,-9999.9,180.0,2.1,-9999.9,-9999.9,6000.0,90.0,-0.9409545938712573,1.8773929935611715
2019-10-04 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.2,-9999.9,32.1,27.2,-9999.9,180.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,100620.0,305.25,-9999.9,300.35,-9999.9,180.0,2.1,-9999.9,-9999.9,6000.0,90.0,-0.9409545938712573,1.8773929935611715
2019-10-04 03:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.7,-9999.9,31.7,27.1,-9999.9,170.0,2.6,6000.0,-9999.9,-9999.9,|,-9999.9,100770.0,304.85,-9999.9,300.25,-9999.9,170.0,2.6,-9999.9,-9999.9,6000.0,100.0,2.2420290679479784,-1.3165506668853728
2019-10-04 03:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.7,-9999.9,31.7,27.1,-9999.9,170.0,2.6,6000.0,-9999.9,-9999.9,|,-9999.9,100770.0,304.85,-9999.9,300.25,-9999.9,170.0,2.6,-9999.9,-9999.9,6000.0,100.0,2.2420290679479784,-1.3165506668853728
2019-10-04 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1009.1,-9999.9,33.7,25.9,-9999.9,150.0,4.1,7000.0,-9999.9,-9999.9,|,-9999.9,100910.0,306.85,-9999.9,299.05,-9999.9,150.0,4.1,-9999.9,-9999.9,7000.0,120.0,3.338141979158903,2.3805058552704885
2019-10-04 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1009.1,-9999.9,33.7,25.9,-9999.9,150.0,4.1,7000.0,-9999.9,-9999.9,|,-9999.9,100910.0,306.85,-9999.9,299.05,-9999.9,150.0,4.1,-9999.9,-9999.9,7000.0,120.0,3.338141979158903,2.3805058552704885
2019-10-04 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.2,-9999.9,35.8,25.6,-9999.9,120.0,6.2,8000.0,-9999.9,-9999.9,|,-9999.9,100720.0,308.95,-9999.9,298.75,-9999.9,120.0,6.2,-9999.9,-9999.9,8000.0,150.0,4.335355000165926,-4.432233863700821
2019-10-04 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.2,-9999.9,35.8,25.6,-9999.9,120.0,6.2,8000.0,-9999.9,-9999.9,|,-9999.9,100720.0,308.95,-9999.9,298.75,-9999.9,120.0,6.2,-9999.9,-9999.9,8000.0,150.0,4.335355000165926,-4.432233863700821
2019-10-04 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.1,-9999.9,36.0,25.6,-9999.9,100.0,4.6,9000.0,-9999.9,-9999.9,|,-9999.9,100510.0,309.15,-9999.9,298.75,-9999.9,100.0,4.6,-9999.9,-9999.9,9000.0,170.0,4.314775859749431,1.5945874952863393
2019-10-04 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.1,-9999.9,36.0,25.6,-9999.9,100.0,4.6,9000.0,-9999.9,-9999.9,|,-9999.9,100510.0,309.15,-9999.9,298.75,-9999.9,100.0,4.6,-9999.9,-9999.9,9000.0,170.0,4.314775859749431,1.5945874952863393
2019-10-04 15:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1004.5,-9999.9,33.7,28.3,-9999.9,100.0,3.6,5000.0,-9999.9,-9999.9,|,-9999.9,100450.0,306.85,-9999.9,301.45,-9999.9,100.0,3.6,-9999.9,-9999.9,5000.0,170.0,3.3767811076299896,1.2479380397893092
2019-10-04 15:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1004.5,-9999.9,33.7,28.3,-9999.9,100.0,3.6,5000.0,-9999.9,-9999.9,|,-9999.9,100450.0,306.85,-9999.9,301.45,-9999.9,100.0,3.6,-9999.9,-9999.9,5000.0,170.0,3.3767811076299896,1.2479380397893092
2019-10-04 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.6,-9999.9,33.3,28.4,-9999.9,70.0,2.1,5000.0,-9999.9,-9999.9,|,-9999.9,100560.0,306.45,-9999.9,301.55,-9999.9,70.0,2.1,-9999.9,-9999.9,5000.0,200.0,1.0230941175147124,-1.8339243241493888
2019-10-04 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.6,-9999.9,33.3,28.4,-9999.9,70.0,2.1,5000.0,-9999.9,-9999.9,|,-9999.9,100560.0,306.45,-9999.9,301.55,-9999.9,70.0,2.1,-9999.9,-9999.9,5000.0,200.0,1.0230941175147124,-1.8339243241493888
2019-10-04 21:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.9,-9999.9,32.7,28.8,-9999.9,90.0,5.1,4000.0,-9999.9,-9999.9,|,-9999.9,100590.0,305.85,-9999.9,301.95,-9999.9,90.0,5.1,-9999.9,-9999.9,4000.0,180.0,-3.0521463521950762,-4.085878442242535
2019-10-04 21:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.9,-9999.9,32.7,28.8,-9999.9,90.0,5.1,4000.0,-9999.9,-9999.9,|,-9999.9,100590.0,305.85,-9999.9,301.95,-9999.9,90.0,5.1,-9999.9,-9999.9,4000.0,180.0,-3.0521463521950762,-4.085878442242535
2019-10-05 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.9,-9999.9,32.0,27.1,-9999.9,100.0,3.1,4000.0,-9999.9,-9999.9,|,-9999.9,100590.0,305.15,-9999.9,300.25,-9999.9,100.0,3.1,-9999.9,-9999.9,4000.0,170.0,2.9077837315702686,1.074613312040794
2019-10-05 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1005.9,-9999.9,32.0,27.1,-9999.9,100.0,3.1,4000.0,-9999.9,-9999.9,|,-9999.9,100590.0,305.15,-9999.9,300.25,-9999.9,100.0,3.1,-9999.9,-9999.9,4000.0,170.0,2.9077837315702686,1.074613312040794
2019-10-05 06:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1008.5,-9999.9,33.6,26.5,-9999.9,330.0,4.1,3500.0,-9999.9,-9999.9,|,-9999.9,100850.0,306.75,-9999.9,299.65,-9999.9,330.0,4.1,-9999.9,-9999.9,3500.0,300.0,-0.09059613904260415,-4.0989989435947125
2019-10-05 06:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1008.5,-9999.9,33.6,26.5,-9999.9,330.0,4.1,3500.0,-9999.9,-9999.9,|,-9999.9,100850.0,306.75,-9999.9,299.65,-9999.9,330.0,4.1,-9999.9,-9999.9,3500.0,300.0,-0.09059613904260415,-4.0989989435947125
2019-10-05 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.7,-9999.9,34.4,26.0,-9999.9,350.0,5.1,6000.0,-9999.9,-9999.9,|,-9999.9,100770.0,307.55,-9999.9,299.15,-9999.9,350.0,5.1,-9999.9,-9999.9,6000.0,280.0,-4.70087185738451,-1.9778280462290703
2019-10-05 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.7,-9999.9,34.4,26.0,-9999.9,350.0,5.1,6000.0,-9999.9,-9999.9,|,-9999.9,100770.0,307.55,-9999.9,299.15,-9999.9,350.0,5.1,-9999.9,-9999.9,6000.0,280.0,-4.70087185738451,-1.9778280462290703
2019-10-05 12:00:00,3.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,34.6,21.2,-9999.9,330.0,6.7,12000.0,-9999.9,-9999.9,|,-9999.9,100660.0,307.75,-9999.9,294.35,-9999.9,330.0,6.7,-9999.9,-9999.9,12000.0,300.0,-0.1480473491671824,-6.698364127337702
2019-10-05 12:00:00,3.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,34.6,21.2,-9999.9,330.0,6.7,12000.0,-9999.9,-9999.9,|,-9999.9,100660.0,307.75,-9999.9,294.35,-9999.9,330.0,6.7,-9999.9,-9999.9,12000.0,300.0,-0.1480473491671824,-6.698364127337702
2019-10-05 15:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.7,-9999.9,33.0,16.3,-9999.9,330.0,5.1,12000.0,-9999.9,-9999.9,|,-9999.9,100670.0,306.15,-9999.9,289.45,-9999.9,330.0,5.1,-9999.9,-9999.9,12000.0,300.0,-0.1126927583212881,-5.0987547834958615
